Lat_Deg,Lat_Min,Lat_Sec,Lon_Deg,Lon_Min,Lon_Sec
51,20,15.84,-116,59,50.63
51,30,49.74,-117,20,13.76
51,41,49.27,-118,39,34.82
51,11,10.11,-119,9,38.28
51,24,12.85,-120,40,46.97
51,25,43.31,-121,57,51.87
51,44,52.83,-123,37,20.33
51,44,25.85,-124,27,20.71
52,31,19.01,-119,10,6.05
52,5,2.8,-120,51,47.76
52,50,57.08,-121,22,38.4
52,10,33.77,-122,4,42.84
52,14,4.7,-123,29,39.4
52,32,52.63,-125,49,46.23
52,24,12.26,-126,29,38.31
53,15,16.51,-120,4,15.22
53,3,25.68,-121,58,39.7
53,59,32.37,-122,26,7.05
53,42,40.78,-124,47,3.13
53,16,2.14,-120,4,13.03
54,58,6.42,-122,56,2.19
54,5,48.65,-124,47,12.11
54,24,9.38,-125,26,38.42
54,16,14.64,-126,47,12
54,55,16.48,-127,43,49.9
54,17,16.71,-128,29,0.61
54,20,4.49,-129,18,17.45
55,26,17.54,-120,2,27.49
55,27,33.08,-123,11,25.92
55,48,14.25,-124,43,38.54
55,36,47.58,-125,10,23.11
55,9,31.85,-127,55,2.27
55,46,23.98,-128,51,31.81
56,24,18.68,-120,24,40.61
56,5,21.84,-121,57,15.15
56,6,50.55,-129,18,45.66
57,38,10.3,-130,3,56.16
58,50,46.49,-122,54,53.71
58,39,39.86,-123,52,15.11
58,40,29.24,-124,31,49.56
50,37,4.17,-115,59,40.23
58,7,5.75,-129,53,35.24
51,5,51.59,-116,59,21.62
50,4,6.37,-125,6,4.5
59,13,4.92,-129,44,0.66
59,57,16.17,-131,57,22.85
59,50,18.78,-133,48,58.07
59,48,33.54,-134,50,33.28
59,27,25.93,-136,23,38.79
49,40,27.88,-126,8,53.07
55,34,6.44,-121,35,18.09
54,1,15.34,-132,9,34.73
53,11,11.26,-132,9,5.32
53,8,23.66,-131,48,33.55
48,25,2.05,-123,22,8.46
48,52,7.33,-124,48,57.91
49,43,14.69,-115,37,55.62
49,5,18.03,-116,28,40.03
49,42,23.89,-117,30,59.03
49,22,0.08,-118,29,49.77
49,36,33.78,-119,43,56.56
49,7,9.24,-120,14,28.78
49,2,10.55,-121,58,19.38
49,14,58.71,-122,45,45.15
49,14,32.36,-123,14,52.86
49,47,59.21,-124,9,22.73
49,2,41.64,-125,42,48.45
50,39,49.26,-115,51,9.61
50,23,30.8,-117,0,48.48
50,16,23.86,-119,5,59.71
50,12,5.68,-120,36,31.51
50,52,30.17,-121,48,18.95
50,7,20.25,-122,51,44
50,11,47.57,-125,30,27.98
50,32,6.49,-127,24,56.58
51,42,13.93,-116,42,50.48
51,11,24.78,-117,43,15.95
51,24,37.55,-119,27,15.32
51,19,6.19,-120,9,48.43
51,58,54.56,-121,29,39.87
51,58,7.83,-122,24,41.85
51,59,53.16,-124,22,59.61
52,28,31.13,-121,23,10.45
52,7,4.06,-122,21,41.37
52,6,38.84,-125,1,13.27
53,55,13.06,-121,45,9.48
53,56,38.38,-122,48,54.36
53,36,17.7,-123,0,9.62
54,20,29.23,-122,39,46.37
54,43,15.85,-124,9,32.7
54,59,15.33,-127,22,4.03
54,50,35.64,-128,52,36.95
55,49,16.8,-128,50,25.58
49,11,27.39,-122,47,18.81
59,47,23.95,-136,35,59
48,45,41.94,-123,33,56.2
48,49,0.96,-124,2,44.3
49,42,9.87,-118,46,20.5
49,4,25.07,-119,16,6.53
49,48,47.27,-120,42,35.2
49,30,27,-123,14,27.21
49,11,32.8,-124,10,34.2
49,35,4.1,-125,15,35.02
50,13,27.74,-118,44,46.41
50,49,28.3,-119,35,31.5
50,49,13.22,-121,22,46.38
50,26,37.33,-122,15,23.18
50,1,46.07,-125,9,55.52
51,43,6.67,-117,32,37.63
49,33,57.95,-125,11,4.79
49,15,0.55,-119,31,0.9
49,24,49.77,-120,14,39.57
49,15,31.51,-124,21,55.29
50,34,50.75,-120,5,37.08
49,44,14.07,-120,10,59.55
49,22,0.03,-117,57,53.88
41,55,45.52,-123,4,57.52
41,10,41.09,-122,30,14.63
41,6,37.84,-121,16,38.46
41,45,57.42,-124,11,40.8
40,15,5.38,-124,8,39.01
40,25,38.54,-123,58,2.39
40,21,40.43,-122,17,3.63
40,30,9.63,-121,20,5.64
40,33,46.62,-120,41,3
39,15,20.14,-123,10,14.97
39,33,15.09,-122,56,11.03
39,16,52.33,-121,44,3.16
